12:37:48.807 [main] INFO  mh.clients.Clients - start
12:37:57.337 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-09","3037")
12:37:57.341 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-10","2823")
12:37:57.346 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-11","2634")
12:37:57.350 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-12","2620")
12:37:57.355 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-13","2645")
12:37:57.359 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-14","2335")
12:37:57.363 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-15","2824")
12:37:57.368 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-16","2997")
12:37:57.372 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-17","2739")
12:37:57.376 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-18","2718")
12:37:57.380 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-19","2534")
12:37:57.387 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-20","2596")
12:37:57.393 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-21","2697")
12:37:57.398 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-22","2939")
12:37:57.402 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-23","3053")
12:37:57.406 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-24","2794")
12:37:57.410 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-25","2737")
12:37:57.413 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-26","2697")
12:37:57.416 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-27","2723")
12:37:57.420 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-28","2525")
12:37:57.424 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-29","2782")
